title,project_title,take_no,label,suno_id,audio_path,cover_path,image_url,status,style_score,lyric_score
Đêm Vọng Cổ Bên Sông - Paper Dragon #1,Đêm Vọng Cổ Bên Sông - Paper Dragon,1,#1,c717fc56-d3d6-41a3-8886-23260629feb5,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cai-Luong/2026-06-30_Dem-Vong-Co-Ben-Song-Paper-Dragon/audio/Dem-Vong-Co-Ben-Song-Paper-Dragon__01.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cai-Luong/2026-06-30_Dem-Vong-Co-Ben-Song-Paper-Dragon/cover/Dem-Vong-Co-Ben-Song-Paper-Dragon__01.jpeg,https://cdn2.suno.ai/image_c717fc56-d3d6-41a3-8886-23260629feb5.jpeg,draft,8.3,8.0
Đêm Vọng Cổ Bên Sông - Paper Dragon #2,Đêm Vọng Cổ Bên Sông - Paper Dragon,2,#2,04f76b77-8d63-450c-9841-4867456a5d0e,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cai-Luong/2026-06-30_Dem-Vong-Co-Ben-Song-Paper-Dragon/audio/Dem-Vong-Co-Ben-Song-Paper-Dragon__02.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cai-Luong/2026-06-30_Dem-Vong-Co-Ben-Song-Paper-Dragon/cover/Dem-Vong-Co-Ben-Song-Paper-Dragon__02.jpeg,https://cdn2.suno.ai/image_04f76b77-8d63-450c-9841-4867456a5d0e.jpeg,draft,8.3,8.0
Cai-Luong Bí Mật 1 - Paper Dragon #1,Cai-Luong Bí Mật 1 - Paper Dragon,1,#1,7fa976ad-1a04-4d5b-859e-00bb6e2d21f8,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cai-Luong/2026-06-30_Cai-Luong-Bi-Mat-1-Paper-Dragon/audio/Cai-Luong-Bi-Mat-1-Paper-Dragon__01.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cai-Luong/2026-06-30_Cai-Luong-Bi-Mat-1-Paper-Dragon/cover/Cai-Luong-Bi-Mat-1-Paper-Dragon__01.jpeg,https://cdn2.suno.ai/image_7fa976ad-1a04-4d5b-859e-00bb6e2d21f8.jpeg,draft,8.3,8.0
Cai-Luong Bí Mật 1 - Paper Dragon #2,Cai-Luong Bí Mật 1 - Paper Dragon,2,#2,83e8c943-afd1-4df8-b95a-1f5b31c1fe67,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cai-Luong/2026-06-30_Cai-Luong-Bi-Mat-1-Paper-Dragon/audio/Cai-Luong-Bi-Mat-1-Paper-Dragon__02.mp3,,,draft,8.3,8.0
Cai-Luong Bí Mật 2 2 #1,Cai-Luong Bí Mật 2 2,1,#1,e91493e9-f6a7-48aa-bc91-22994d0f30e5,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cai-Luong/2026-06-30_Cai-Luong-Bi-Mat-2-2/audio/Cai-Luong-Bi-Mat-2-2__01.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cai-Luong/2026-06-30_Cai-Luong-Bi-Mat-2-2/cover/Cai-Luong-Bi-Mat-2-2__01.jpeg,https://cdn2.suno.ai/image_e91493e9-f6a7-48aa-bc91-22994d0f30e5.jpeg,draft,8.3,9.0
Cai-Luong Bí Mật 2 2 #2,Cai-Luong Bí Mật 2 2,2,#2,e8f59261-e206-431c-9f58-520e524dd33a,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cai-Luong/2026-06-30_Cai-Luong-Bi-Mat-2-2/audio/Cai-Luong-Bi-Mat-2-2__02.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cai-Luong/2026-06-30_Cai-Luong-Bi-Mat-2-2/cover/Cai-Luong-Bi-Mat-2-2__02.jpeg,https://cdn2.suno.ai/image_e8f59261-e206-431c-9f58-520e524dd33a.jpeg,draft,8.3,9.0
Bình Bát Qua Trưa #1,Bình Bát Qua Trưa,1,#1,80ea2f32-0e40-4fce-b0e7-eec35cf2052f,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cai-Luong/2026-07-01_Binh-Bat-Qua-Trua/audio/Binh-Bat-Qua-Trua__01.mp3,,,draft,,
Bình Bát Qua Trưa #2,Bình Bát Qua Trưa,2,#2,c03bb05d-3576-4f33-ab63-1695074fd3e9,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cai-Luong/2026-07-01_Binh-Bat-Qua-Trua/audio/Binh-Bat-Qua-Trua__02.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cai-Luong/2026-07-01_Binh-Bat-Qua-Trua/cover/Binh-Bat-Qua-Trua__02.jpeg,https://cdn2.suno.ai/image_c03bb05d-3576-4f33-ab63-1695074fd3e9.jpeg,draft,,
Mảnh Vải Nhặt Thành Áo #1,Mảnh Vải Nhặt Thành Áo,1,#1,59fb4586-7414-410c-8a7c-d39af057d045,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cai-Luong/2026-07-01_Manh-Vai-Nhat-Thanh-Ao/audio/Manh-Vai-Nhat-Thanh-Ao__01.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cai-Luong/2026-07-01_Manh-Vai-Nhat-Thanh-Ao/cover/Manh-Vai-Nhat-Thanh-Ao__01.jpeg,https://cdn2.suno.ai/image_59fb4586-7414-410c-8a7c-d39af057d045.jpeg,draft,,
Mảnh Vải Nhặt Thành Áo #2,Mảnh Vải Nhặt Thành Áo,2,#2,797a392f-b924-47fa-a93d-5746017f5b31,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cai-Luong/2026-07-01_Manh-Vai-Nhat-Thanh-Ao/audio/Manh-Vai-Nhat-Thanh-Ao__02.mp3,/root/.openclaw/workspace/suno-automato-cli/suno-library/Cai-Luong/2026-07-01_Manh-Vai-Nhat-Thanh-Ao/cover/Manh-Vai-Nhat-Thanh-Ao__02.jpeg,https://cdn2.suno.ai/image_797a392f-b924-47fa-a93d-5746017f5b31.jpeg,draft,,
